구분,종목,종목코드,수량,평단가
고배당,KODEX US Dividend Covered Call Active,441640,4391,12229.52
고배당,TIMEFOLIO TIME KOREA PLUS DIVIDEND ACTIVE ETF,441800,524,29709.5
기술주,Alphabet Inc Class C,GOOG,33,94193.09
기술주,Amazon.com Inc,AMZN,18,331650.39
기술주,Apple Inc,AAPL,99,371010.59
기술주,KODEX US NASDAQ100,379810,45,20701.11
기술주,MIRAE ASSET TIGER SEMICONDUCTOR TOP 10 ETF,091230,101,28305.0
기술주,Microsoft Corp,MSFT,30,544312.9
기술주,NVIDIA Corp,NVDA,176,193755.34
기술주,Palantir Technologies Inc,PLTR,55,110223.36
기술주,Samsung Electronics Co Ltd,005930,4,139700.0
기술주,Samsung Electronics Co Ltd Preference Shares Non Voting,005935,92,43555.76
기술주,TIGER NASDAQ100,133690,24,80280.5
기술주,TIME US NASDAQ100 ACTIVE,476720,22,33849.0
기술주,VanEck Semiconductor ETF,SMH,17,207479.59
기술주,Visa Inc,V,14,385902.43
배당성장,SOL US Dividend Equity,433330,3814,9175.31
배당성장,SOL US Dividend Equity채권혼합50,448290,2919,10297.38
배당성장,TIGER U.S. Dividend Equity,458730,6246,12462.62
배당성장,TIGER 코리아배당다우존스,458730,986,15106.53
성장동력,KODEX S&P500,379800,24,19664.33
성장동력,MIRAE ASSET TIGER S&P500 ETF,360750,1032,15343.47
안전판,Samsung KODEX CD Rate Active ETF (Synth),459580,61,1073727.18
